case_id,damage_type,element_id,severity_pct,member_type,zone,n_elements_total,detection_ok,n_false_positives
D_0043,Denting,5,35,Brace,mudline,120,True,1
D_0044,Denting,5,40,Brace,mudline,120,True,1
D_0045,Denting,5,45,Brace,mudline,120,True,1
D_0046,Denting,6,5,Inclined_leg,mudline,120,True,1
D_0047,Denting,6,10,Inclined_leg,mudline,120,True,1
D_0048,Denting,6,15,Inclined_leg,mudline,120,True,1
D_0049,Denting,6,20,Inclined_leg,mudline,120,True,1
D_0050,Denting,6,25,Inclined_leg,mudline,120,True,1
D_0051,Denting,6,30,Inclined_leg,mudline,120,True,1
D_0052,Denting,6,35,Inclined_leg,mudline,120,True,1
D_0053,Denting,6,40,Inclined_leg,mudline,120,True,1
D_0054,Denting,6,45,Inclined_leg,mudline,120,True,1
D_0055,Denting,7,5,Brace,mudline,120,True,0
D_0056,Denting,7,10,Brace,mudline,120,True,0
D_0057,Denting,7,15,Brace,mudline,120,True,0
D_0058,Denting,7,20,Brace,mudline,120,True,0
D_0059,Denting,7,25,Brace,mudline,120,True,0
D_0060,Denting,7,30,Brace,mudline,120,True,0
D_0061,Denting,7,35,Brace,mudline,120,True,0
D_0062,Denting,7,40,Brace,mudline,120,True,0
D_0063,Denting,7,45,Brace,mudline,120,True,0
D_0064,Denting,8,5,Brace,mudline,120,True,2
D_0065,Denting,8,10,Brace,mudline,120,True,2
D_0066,Denting,8,15,Brace,mudline,120,True,2
D_0067,Denting,8,20,Brace,mudline,120,True,2
D_0068,Denting,8,25,Brace,mudline,120,True,2
D_0069,Denting,8,30,Brace,mudline,120,True,2
D_0070,Denting,8,35,Brace,mudline,120,True,2
D_0071,Denting,8,40,Brace,mudline,120,True,2
D_0072,Denting,8,45,Brace,mudline,120,True,2
D_0073,Denting,9,5,Brace,mudline,120,True,1
D_0074,Denting,9,10,Brace,mudline,120,True,1
D_0075,Denting,9,15,Brace,mudline,120,True,1
D_0076,Denting,9,20,Brace,mudline,120,True,1
D_0077,Denting,9,25,Brace,mudline,120,True,1
D_0078,Denting,9,30,Brace,mudline,120,True,1
D_0079,Denting,9,35,Brace,mudline,120,True,1
D_0080,Denting,9,40,Brace,mudline,120,True,1
D_0081,Denting,9,45,Brace,mudline,120,True,1
D_0082,Denting,10,5,Brace,mudline,120,True,2
D_0083,Denting,10,10,Brace,mudline,120,True,2
D_0084,Denting,10,15,Brace,mudline,120,True,2
D_0085,Denting,10,20,Brace,mudline,120,True,1
D_0086,Denting,10,25,Brace,mudline,120,True,1
D_0087,Denting,10,30,Brace,mudline,120,True,1
D_0088,Denting,10,35,Brace,mudline,120,True,1
D_0089,Denting,10,40,Brace,mudline,120,True,1
D_0090,Denting,10,45,Brace,mudline,120,True,1
D_0091,Denting,11,5,Inclined_leg,mudline,120,False,4
D_0092,Denting,11,10,Inclined_leg,mudline,120,False,4
D_0093,Denting,11,15,Inclined_leg,mudline,120,False,4
D_0094,Denting,11,20,Inclined_leg,mudline,120,False,4
D_0095,Denting,11,25,Inclined_leg,mudline,120,False,2
D_0096,Denting,11,30,Inclined_leg,mudline,120,False,2
D_0097,Denting,11,35,Inclined_leg,mudline,120,False,2
D_0098,Denting,11,40,Inclined_leg,mudline,120,False,4
D_0099,Denting,11,45,Inclined_leg,mudline,120,False,3
D_0100,Denting,12,5,Brace,mudline,120,True,0
D_0101,Denting,12,10,Brace,mudline,120,True,0
D_0102,Denting,12,15,Brace,mudline,120,True,0
D_0103,Denting,12,20,Brace,mudline,120,True,0
D_0104,Denting,12,25,Brace,mudline,120,True,0
D_0105,Denting,12,30,Brace,mudline,120,True,0
D_0106,Denting,12,35,Brace,mudline,120,True,0
D_0107,Denting,12,40,Brace,mudline,120,True,0
D_0108,Denting,12,45,Brace,mudline,120,True,0
D_0109,Denting,13,5,Brace,mudline,120,True,2
D_0110,Denting,13,10,Brace,mudline,120,True,2
D_0111,Denting,13,15,Brace,mudline,120,True,2
D_0112,Denting,13,20,Brace,mudline,120,True,1
D_0113,Denting,13,25,Brace,mudline,120,True,1
D_0114,Denting,13,30,Brace,mudline,120,True,1
D_0115,Denting,13,35,Brace,mudline,120,True,1
D_0116,Denting,13,40,Brace,mudline,120,True,1
D_0117,Denting,13,45,Brace,mudline,120,True,1
D_0118,Denting,14,5,Brace,mudline,120,True,2
D_0119,Denting,14,10,Brace,mudline,120,True,1
D_0120,Denting,14,15,Brace,mudline,120,True,1
D_0121,Denting,14,20,Brace,mudline,120,True,1
D_0122,Denting,14,25,Brace,mudline,120,True,1
D_0123,Denting,14,30,Brace,mudline,120,True,1
D_0124,Denting,14,35,Brace,mudline,120,True,1
D_0125,Denting,14,40,Brace,mudline,120,True,1
D_0126,Denting,14,45,Brace,mudline,120,True,1
D_0127,Denting,15,5,Brace,mudline,120,True,2
D_0128,Denting,15,10,Brace,mudline,120,True,2
D_0129,Denting,15,15,Brace,mudline,120,True,2
D_0130,Denting,15,20,Brace,mudline,120,True,1
D_0131,Denting,15,25,Brace,mudline,120,True,1
D_0132,Denting,15,30,Brace,mudline,120,True,1
D_0133,Denting,15,35,Brace,mudline,120,True,1
D_0134,Denting,15,40,Brace,mudline,120,True,1
D_0135,Denting,15,45,Brace,mudline,120,True,1
D_0136,Denting,16,5,Inclined_leg,mudline,120,True,1
D_0137,Denting,16,10,Inclined_leg,mudline,120,True,1
D_0138,Denting,16,15,Inclined_leg,mudline,120,True,1
D_0139,Denting,16,20,Inclined_leg,mudline,120,True,1
D_0140,Denting,16,25,Inclined_leg,mudline,120,True,1
D_0141,Denting,16,30,Inclined_leg,mudline,120,True,1
D_0142,Denting,16,35,Inclined_leg,mudline,120,True,1
D_0143,Denting,16,40,Inclined_leg,mudline,120,True,1
D_0144,Denting,16,45,Inclined_leg,mudline,120,True,1
D_0145,Denting,17,5,Brace,mudline,120,True,0
D_0146,Denting,17,10,Brace,mudline,120,True,0
D_0147,Denting,17,15,Brace,mudline,120,True,0
D_0148,Denting,17,20,Brace,mudline,120,True,0
D_0149,Denting,17,25,Brace,mudline,120,True,0
D_0150,Denting,17,30,Brace,mudline,120,True,0
D_0151,Denting,17,35,Brace,mudline,120,True,0
D_0152,Denting,17,40,Brace,mudline,120,True,0
D_0153,Denting,17,45,Brace,mudline,120,True,0
D_0154,Denting,18,5,Brace,mudline,120,True,2
D_0155,Denting,18,10,Brace,mudline,120,True,2
D_0156,Denting,18,15,Brace,mudline,120,True,2
D_0157,Denting,18,20,Brace,mudline,120,True,2
D_0158,Denting,18,25,Brace,mudline,120,True,2
D_0159,Denting,18,30,Brace,mudline,120,True,2
D_0160,Denting,18,35,Brace,mudline,120,True,2
D_0161,Denting,18,40,Brace,mudline,120,True,2
D_0162,Denting,18,45,Brace,mudline,120,True,2
D_0163,Denting,19,5,Brace,mudline,120,True,1
D_0164,Denting,19,10,Brace,mudline,120,True,1
D_0165,Denting,19,15,Brace,mudline,120,True,1
D_0166,Denting,19,20,Brace,mudline,120,True,1
D_0167,Denting,19,25,Brace,mudline,120,True,1
D_0168,Denting,19,30,Brace,mudline,120,True,1
D_0169,Denting,19,35,Brace,mudline,120,True,1
D_0170,Denting,19,40,Brace,mudline,120,True,1
D_0171,Denting,19,45,Brace,mudline,120,True,1
D_0172,Denting,20,5,Brace,mudline,120,True,1
D_0173,Denting,20,10,Brace,mudline,120,True,1
D_0174,Denting,20,15,Brace,mudline,120,True,1
D_0175,Denting,20,20,Brace,mudline,120,True,1
D_0176,Denting,20,25,Brace,mudline,120,True,1
D_0177,Denting,20,30,Brace,mudline,120,True,1
D_0178,Denting,20,35,Brace,mudline,120,True,1
D_0179,Denting,20,40,Brace,mudline,120,True,1
D_0180,Denting,20,45,Brace,mudline,120,True,1
D_0181,Denting,21,5,Beam,mudline,120,False,0
D_0182,Denting,21,10,Beam,mudline,120,False,0
D_0183,Denting,21,15,Beam,mudline,120,False,0
D_0184,Denting,21,20,Beam,mudline,120,False,0
D_0185,Denting,21,25,Beam,mudline,120,False,0
D_0186,Denting,21,30,Beam,mudline,120,False,0
D_0187,Denting,21,35,Beam,mudline,120,False,0
D_0188,Denting,21,40,Beam,mudline,120,False,0
D_0189,Denting,21,45,Beam,mudline,120,False,0
D_0190,Denting,22,5,Beam,mudline,120,False,0
D_0191,Denting,22,10,Beam,mudline,120,False,0
D_0192,Denting,22,15,Beam,mudline,120,False,0
D_0193,Denting,22,20,Beam,mudline,120,False,0
D_0194,Denting,22,25,Beam,mudline,120,False,0
D_0195,Denting,22,30,Beam,mudline,120,False,0
D_0196,Denting,22,35,Beam,mudline,120,False,0
D_0197,Denting,22,40,Beam,mudline,120,False,0
D_0198,Denting,22,45,Beam,mudline,120,False,0
D_0199,Denting,23,5,Beam,mudline,120,False,0
D_0200,Denting,23,10,Beam,mudline,120,False,0
D_0201,Denting,23,15,Beam,mudline,120,False,0
D_0202,Denting,23,20,Beam,mudline,120,False,0
D_0203,Denting,23,25,Beam,mudline,120,False,0
D_0204,Denting,23,30,Beam,mudline,120,False,0
D_0205,Denting,23,35,Beam,mudline,120,False,0
D_0206,Denting,23,40,Beam,mudline,120,False,0
D_0207,Denting,23,45,Beam,mudline,120,False,0
D_0208,Denting,24,5,Beam,mudline,120,False,0
D_0209,Denting,24,10,Beam,mudline,120,False,0
D_0210,Denting,24,15,Beam,mudline,120,False,0
D_0211,Denting,24,20,Beam,mudline,120,False,0
D_0212,Denting,24,25,Beam,mudline,120,False,0
D_0213,Denting,24,30,Beam,mudline,120,False,0
D_0214,Denting,24,35,Beam,mudline,120,False,0
D_0215,Denting,24,40,Beam,mudline,120,False,0
D_0216,Denting,24,45,Beam,mudline,120,False,0
D_0217,Denting,25,5,Inclined_leg,sub1,120,False,4
D_0218,Denting,25,10,Inclined_leg,sub1,120,False,4
D_0219,Denting,25,15,Inclined_leg,sub1,120,False,4
D_0220,Denting,25,20,Inclined_leg,sub1,120,False,5
D_0221,Denting,25,25,Inclined_leg,sub1,120,False,7
D_0222,Denting,25,30,Inclined_leg,sub1,120,False,4
D_0223,Denting,25,35,Inclined_leg,sub1,120,False,11
D_0224,Denting,25,40,Inclined_leg,sub1,120,False,10
D_0225,Denting,25,45,Inclined_leg,sub1,120,False,5
D_0226,Denting,26,5,Brace,sub1,120,True,0
D_0227,Denting,26,10,Brace,sub1,120,True,0
D_0228,Denting,26,15,Brace,sub1,120,True,0
D_0229,Denting,26,20,Brace,sub1,120,True,0
D_0230,Denting,26,25,Brace,sub1,120,True,0
D_0231,Denting,26,30,Brace,sub1,120,True,0
D_0232,Denting,26,35,Brace,sub1,120,True,0
D_0233,Denting,26,40,Brace,sub1,120,True,0
D_0234,Denting,26,45,Brace,sub1,120,True,0
D_0235,Denting,27,5,Brace,sub1,120,True,1
D_0236,Denting,27,10,Brace,sub1,120,True,1
D_0237,Denting,27,15,Brace,sub1,120,True,1
D_0238,Denting,27,20,Brace,sub1,120,True,1
D_0239,Denting,27,25,Brace,sub1,120,True,1
D_0240,Denting,27,30,Brace,sub1,120,True,1
D_0241,Denting,27,35,Brace,sub1,120,True,1
D_0242,Denting,27,40,Brace,sub1,120,True,1
D_0243,Denting,27,45,Brace,sub1,120,True,1
D_0244,Denting,28,5,Brace,sub1,120,True,1
D_0245,Denting,28,10,Brace,sub1,120,True,1
D_0246,Denting,28,15,Brace,sub1,120,True,1
D_0247,Denting,28,20,Brace,sub1,120,True,1
D_0248,Denting,28,25,Brace,sub1,120,True,1
D_0249,Denting,28,30,Brace,sub1,120,True,1
D_0250,Denting,28,35,Brace,sub1,120,True,1
D_0251,Denting,28,40,Brace,sub1,120,True,1
D_0252,Denting,28,45,Brace,sub1,120,True,1
D_0253,Denting,29,5,Brace,sub1,120,True,1
D_0254,Denting,29,10,Brace,sub1,120,True,1
D_0255,Denting,29,15,Brace,sub1,120,True,1
D_0256,Denting,29,20,Brace,sub1,120,True,1
D_0257,Denting,29,25,Brace,sub1,120,True,1
D_0258,Denting,29,30,Brace,sub1,120,True,1
D_0259,Denting,29,35,Brace,sub1,120,True,1
D_0260,Denting,29,40,Brace,sub1,120,True,1
D_0261,Denting,29,45,Brace,sub1,120,True,1
D_0262,Denting,30,5,Inclined_leg,sub1,120,False,4
D_0263,Denting,30,10,Inclined_leg,sub1,120,False,4
D_0264,Denting,30,15,Inclined_leg,sub1,120,False,4
D_0265,Denting,30,20,Inclined_leg,sub1,120,False,5
D_0266,Denting,30,25,Inclined_leg,sub1,120,False,7
D_0267,Denting,30,30,Inclined_leg,sub1,120,False,4
D_0268,Denting,30,35,Inclined_leg,sub1,120,False,11
D_0269,Denting,30,40,Inclined_leg,sub1,120,False,11
D_0270,Denting,30,45,Inclined_leg,sub1,120,False,5
D_0271,Denting,31,5,Brace,sub1,120,True,0
D_0272,Denting,31,10,Brace,sub1,120,True,0
D_0273,Denting,31,15,Brace,sub1,120,True,0
D_0274,Denting,31,20,Brace,sub1,120,True,0
D_0275,Denting,31,25,Brace,sub1,120,True,0
D_0276,Denting,31,30,Brace,sub1,120,True,0
D_0277,Denting,31,35,Brace,sub1,120,True,0
D_0278,Denting,31,40,Brace,sub1,120,True,0
D_0279,Denting,31,45,Brace,sub1,120,True,0
D_0280,Denting,32,5,Brace,sub1,120,True,1
D_0281,Denting,32,10,Brace,sub1,120,True,1
D_0282,Denting,32,15,Brace,sub1,120,True,1
D_0283,Denting,32,20,Brace,sub1,120,True,1
D_0284,Denting,32,25,Brace,sub1,120,True,1
D_0285,Denting,32,30,Brace,sub1,120,True,1
D_0286,Denting,32,35,Brace,sub1,120,True,1
D_0287,Denting,32,40,Brace,sub1,120,True,1
D_0288,Denting,32,45,Brace,sub1,120,True,1
D_0289,Denting,33,5,Brace,sub1,120,True,1
D_0290,Denting,33,10,Brace,sub1,120,True,1
D_0291,Denting,33,15,Brace,sub1,120,True,1
D_0292,Denting,33,20,Brace,sub1,120,True,1
D_0293,Denting,33,25,Brace,sub1,120,True,1
D_0294,Denting,33,30,Brace,sub1,120,True,1
D_0295,Denting,33,35,Brace,sub1,120,True,1
D_0296,Denting,33,40,Brace,sub1,120,True,1
D_0297,Denting,33,45,Brace,sub1,120,True,1
D_0298,Denting,34,5,Brace,sub1,120,True,1
D_0299,Denting,34,10,Brace,sub1,120,True,1
D_0300,Denting,34,15,Brace,sub1,120,True,1
D_0301,Denting,34,20,Brace,sub1,120,True,1
D_0302,Denting,34,25,Brace,sub1,120,True,1
D_0303,Denting,34,30,Brace,sub1,120,True,1
D_0304,Denting,34,35,Brace,sub1,120,True,1
D_0305,Denting,34,40,Brace,sub1,120,True,1
D_0306,Denting,34,45,Brace,sub1,120,True,1
D_0307,Denting,35,5,Inclined_leg,sub1,120,False,4
D_0308,Denting,35,10,Inclined_leg,sub1,120,False,4
D_0309,Denting,35,15,Inclined_leg,sub1,120,False,4
D_0310,Denting,35,20,Inclined_leg,sub1,120,False,5
D_0311,Denting,35,25,Inclined_leg,sub1,120,False,7
D_0312,Denting,35,30,Inclined_leg,sub1,120,False,4
D_0313,Denting,35,35,Inclined_leg,sub1,120,False,11
D_0314,Denting,35,40,Inclined_leg,sub1,120,False,11
D_0315,Denting,35,45,Inclined_leg,sub1,120,False,5
D_0316,Denting,36,5,Brace,sub1,120,True,0
D_0317,Denting,36,10,Brace,sub1,120,True,0
D_0318,Denting,36,15,Brace,sub1,120,True,0
D_0319,Denting,36,20,Brace,sub1,120,True,0
D_0320,Denting,36,25,Brace,sub1,120,True,0
D_0321,Denting,36,30,Brace,sub1,120,True,0
D_0322,Denting,36,35,Brace,sub1,120,True,0
D_0323,Denting,36,40,Brace,sub1,120,True,0
D_0324,Denting,36,45,Brace,sub1,120,True,0
D_0325,Denting,37,5,Brace,sub1,120,True,1
D_0326,Denting,37,10,Brace,sub1,120,True,1
D_0327,Denting,37,15,Brace,sub1,120,True,1
D_0328,Denting,37,20,Brace,sub1,120,True,1
D_0329,Denting,37,25,Brace,sub1,120,True,1
D_0330,Denting,37,30,Brace,sub1,120,True,1
D_0331,Denting,37,35,Brace,sub1,120,True,1
D_0332,Denting,37,40,Brace,sub1,120,True,1
D_0333,Denting,37,45,Brace,sub1,120,True,1
D_0334,Denting,38,5,Brace,sub1,120,True,1
D_0335,Denting,38,10,Brace,sub1,120,True,1
D_0336,Denting,38,15,Brace,sub1,120,True,1
D_0337,Denting,38,20,Brace,sub1,120,True,1
D_0338,Denting,38,25,Brace,sub1,120,True,1
D_0339,Denting,38,30,Brace,sub1,120,True,1
D_0340,Denting,38,35,Brace,sub1,120,True,1
D_0341,Denting,38,40,Brace,sub1,120,True,1
D_0342,Denting,38,45,Brace,sub1,120,True,1
D_0343,Denting,39,5,Brace,sub1,120,True,1
D_0344,Denting,39,10,Brace,sub1,120,True,1
D_0345,Denting,39,15,Brace,sub1,120,True,1
D_0346,Denting,39,20,Brace,sub1,120,True,1
D_0347,Denting,39,25,Brace,sub1,120,True,1
D_0348,Denting,39,30,Brace,sub1,120,True,1
D_0349,Denting,39,35,Brace,sub1,120,True,1
D_0350,Denting,39,40,Brace,sub1,120,True,1
D_0351,Denting,39,45,Brace,sub1,120,True,1
D_0352,Denting,40,5,Inclined_leg,sub1,120,False,4
D_0353,Denting,40,10,Inclined_leg,sub1,120,False,4
D_0354,Denting,40,15,Inclined_leg,sub1,120,False,4
D_0355,Denting,40,20,Inclined_leg,sub1,120,False,5
D_0356,Denting,40,25,Inclined_leg,sub1,120,False,6
D_0357,Denting,40,30,Inclined_leg,sub1,120,False,4
D_0358,Denting,40,35,Inclined_leg,sub1,120,False,11
D_0359,Denting,40,40,Inclined_leg,sub1,120,False,11
D_0360,Denting,40,45,Inclined_leg,sub1,120,False,5
D_0361,Denting,41,5,Brace,sub1,120,True,0
D_0362,Denting,41,10,Brace,sub1,120,True,0
D_0363,Denting,41,15,Brace,sub1,120,True,0
D_0364,Denting,41,20,Brace,sub1,120,True,0
D_0365,Denting,41,25,Brace,sub1,120,True,0
D_0366,Denting,41,30,Brace,sub1,120,True,0
D_0367,Denting,41,35,Brace,sub1,120,True,0
D_0368,Denting,41,40,Brace,sub1,120,True,0
D_0369,Denting,41,45,Brace,sub1,120,True,0
D_0370,Denting,42,5,Brace,sub1,120,True,1
D_0371,Denting,42,10,Brace,sub1,120,True,1
D_0372,Denting,42,15,Brace,sub1,120,True,1
D_0373,Denting,42,20,Brace,sub1,120,True,1
D_0374,Denting,42,25,Brace,sub1,120,True,1
D_0375,Denting,42,30,Brace,sub1,120,True,1
D_0376,Denting,42,35,Brace,sub1,120,True,1
D_0377,Denting,42,40,Brace,sub1,120,True,1
D_0378,Denting,42,45,Brace,sub1,120,True,1
D_0379,Denting,43,5,Brace,sub1,120,True,1
D_0380,Denting,43,10,Brace,sub1,120,True,1
D_0381,Denting,43,15,Brace,sub1,120,True,1
D_0382,Denting,43,20,Brace,sub1,120,True,1
D_0383,Denting,43,25,Brace,sub1,120,True,1
D_0384,Denting,43,30,Brace,sub1,120,True,1
D_0385,Denting,43,35,Brace,sub1,120,True,1
D_0386,Denting,43,40,Brace,sub1,120,True,1
D_0387,Denting,43,45,Brace,sub1,120,True,1
D_0388,Denting,44,5,Brace,sub1,120,True,1
D_0389,Denting,44,10,Brace,sub1,120,True,1
D_0390,Denting,44,15,Brace,sub1,120,True,1
D_0391,Denting,44,20,Brace,sub1,120,True,1
D_0392,Denting,44,25,Brace,sub1,120,True,1
D_0393,Denting,44,30,Brace,sub1,120,True,1
D_0394,Denting,44,35,Brace,sub1,120,True,1
D_0395,Denting,44,40,Brace,sub1,120,True,1
D_0396,Denting,44,45,Brace,sub1,120,True,1
D_0397,Denting,45,5,Beam,sub1,120,False,7
D_0398,Denting,45,10,Beam,sub1,120,False,6
D_0399,Denting,45,15,Beam,sub1,120,False,4
D_0400,Denting,45,20,Beam,sub1,120,False,4
D_0401,Denting,45,25,Beam,sub1,120,False,6
D_0402,Denting,45,30,Beam,sub1,120,False,6
D_0403,Denting,45,35,Beam,sub1,120,False,6
D_0404,Denting,45,40,Beam,sub1,120,False,6
D_0405,Denting,45,45,Beam,sub1,120,False,21
D_0406,Denting,46,5,Beam,sub1,120,False,7
D_0407,Denting,46,10,Beam,sub1,120,False,7
D_0408,Denting,46,15,Beam,sub1,120,False,26
D_0409,Denting,46,20,Beam,sub1,120,False,6
D_0410,Denting,46,25,Beam,sub1,120,False,6
D_0411,Denting,46,30,Beam,sub1,120,False,7
D_0412,Denting,46,35,Beam,sub1,120,False,6
D_0413,Denting,46,40,Beam,sub1,120,False,8
D_0414,Denting,46,45,Beam,sub1,120,False,6
D_0415,Denting,47,5,Beam,sub1,120,False,7
D_0416,Denting,47,10,Beam,sub1,120,False,24
D_0417,Denting,47,15,Beam,sub1,120,False,7
D_0418,Denting,47,20,Beam,sub1,120,False,4
D_0419,Denting,47,25,Beam,sub1,120,False,6
D_0420,Denting,47,30,Beam,sub1,120,False,6
D_0421,Denting,47,35,Beam,sub1,120,False,6
D_0422,Denting,47,40,Beam,sub1,120,False,6
D_0423,Denting,47,45,Beam,sub1,120,False,14
D_0424,Denting,48,5,Beam,sub1,120,False,7
D_0425,Denting,48,10,Beam,sub1,120,False,7
D_0426,Denting,48,15,Beam,sub1,120,False,7
D_0427,Denting,48,20,Beam,sub1,120,False,7
D_0428,Denting,48,25,Beam,sub1,120,False,30
D_0429,Denting,48,30,Beam,sub1,120,False,9
D_0430,Denting,48,35,Beam,sub1,120,False,9
D_0431,Denting,48,40,Beam,sub1,120,False,6
D_0432,Denting,48,45,Beam,sub1,120,False,6
D_0433,Denting,49,5,Inclined_leg,sub2,120,False,5
D_0434,Denting,49,10,Inclined_leg,sub2,120,False,1
D_0435,Denting,49,15,Inclined_leg,sub2,120,False,1
D_0436,Denting,49,20,Inclined_leg,sub2,120,False,1
D_0437,Denting,49,25,Inclined_leg,sub2,120,False,1
D_0438,Denting,49,30,Inclined_leg,sub2,120,False,1
D_0439,Denting,49,35,Inclined_leg,sub2,120,False,1
D_0440,Denting,49,40,Inclined_leg,sub2,120,False,1
D_0441,Denting,49,45,Inclined_leg,sub2,120,False,7
D_0442,Denting,50,5,Brace,sub2,120,True,1
D_0443,Denting,50,10,Brace,sub2,120,True,1
D_0444,Denting,50,15,Brace,sub2,120,True,1
D_0445,Denting,50,20,Brace,sub2,120,True,1
D_0446,Denting,50,25,Brace,sub2,120,True,1
D_0447,Denting,50,30,Brace,sub2,120,True,1
D_0448,Denting,50,35,Brace,sub2,120,True,1
D_0449,Denting,50,40,Brace,sub2,120,True,1
D_0450,Denting,50,45,Brace,sub2,120,True,1
D_0451,Denting,51,5,Brace,sub2,120,True,1
D_0452,Denting,51,10,Brace,sub2,120,True,1
D_0453,Denting,51,15,Brace,sub2,120,True,1
D_0454,Denting,51,20,Brace,sub2,120,True,1
D_0455,Denting,51,25,Brace,sub2,120,True,1
D_0456,Denting,51,30,Brace,sub2,120,True,1
D_0457,Denting,51,35,Brace,sub2,120,True,1
D_0458,Denting,51,40,Brace,sub2,120,True,1
D_0459,Denting,51,45,Brace,sub2,120,True,1
D_0460,Denting,52,5,Brace,sub2,120,True,0
D_0461,Denting,52,10,Brace,sub2,120,True,0
D_0462,Denting,52,15,Brace,sub2,120,True,0
D_0463,Denting,52,20,Brace,sub2,120,True,0
D_0464,Denting,52,25,Brace,sub2,120,True,0
D_0465,Denting,52,30,Brace,sub2,120,True,0
D_0466,Denting,52,35,Brace,sub2,120,True,0
D_0467,Denting,52,40,Brace,sub2,120,True,0
D_0468,Denting,52,45,Brace,sub2,120,True,0
D_0469,Denting,53,5,Brace,sub2,120,True,1
D_0470,Denting,53,10,Brace,sub2,120,True,1
D_0471,Denting,53,15,Brace,sub2,120,True,1
D_0472,Denting,53,20,Brace,sub2,120,True,1
D_0473,Denting,53,25,Brace,sub2,120,True,1
D_0474,Denting,53,30,Brace,sub2,120,True,1
D_0475,Denting,53,35,Brace,sub2,120,True,1
D_0476,Denting,53,40,Brace,sub2,120,True,1
D_0477,Denting,53,45,Brace,sub2,120,True,1
D_0478,Denting,54,5,Inclined_leg,sub2,120,False,5
D_0479,Denting,54,10,Inclined_leg,sub2,120,False,1
D_0480,Denting,54,15,Inclined_leg,sub2,120,False,1
D_0481,Denting,54,20,Inclined_leg,sub2,120,False,1
D_0482,Denting,54,25,Inclined_leg,sub2,120,False,1
D_0483,Denting,54,30,Inclined_leg,sub2,120,False,1
D_0484,Denting,54,35,Inclined_leg,sub2,120,False,1
D_0485,Denting,54,40,Inclined_leg,sub2,120,False,5
D_0486,Denting,54,45,Inclined_leg,sub2,120,False,1
D_0487,Denting,55,5,Brace,sub2,120,True,1
D_0488,Denting,55,10,Brace,sub2,120,True,1
D_0489,Denting,55,15,Brace,sub2,120,True,1
D_0490,Denting,55,20,Brace,sub2,120,True,1
D_0491,Denting,55,25,Brace,sub2,120,True,1
D_0492,Denting,55,30,Brace,sub2,120,True,1
D_0493,Denting,55,35,Brace,sub2,120,True,1
D_0494,Denting,55,40,Brace,sub2,120,True,1
D_0495,Denting,55,45,Brace,sub2,120,True,1
D_0496,Denting,56,5,Brace,sub2,120,True,1
D_0497,Denting,56,10,Brace,sub2,120,True,1
D_0498,Denting,56,15,Brace,sub2,120,True,1
D_0499,Denting,56,20,Brace,sub2,120,True,1
D_0500,Denting,56,25,Brace,sub2,120,True,1
D_0501,Denting,56,30,Brace,sub2,120,True,1
